,player_record_idx,gmKey,pcode,ast,bs,defr,dk,dkA,ef,fb,fg,fgA,fgt,fgtA,fo,foul,ft,ftA,gd,idf,inout,inout1,offr,playMin,playSec,pp,ppA,pscore,stl,tf,threep,threepA,to,wft,woft,startFlag,tcode,rb,score,trueShooting,astRatio,rebRatio,gmRb,gameDate
0,50,S17G01N1,210074,7,0,4,0,0,0,0,8,10,9,13,0,3,5,6,0,0,2,2,0,33,45,8,10,16,4,0,1,3,4,1,2,1,10,4,24,0.767263,26.2763,251.259,53.0,20101015
1,62,S17G01N1,240044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0.0,0.0,0.0,53.0,20101015
2,64,S17G01N1,255047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,55,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0.0,0.0,0.0,53.0,20101015
3,54,S17G01N1,290250,1,1,4,0,0,0,0,7,12,7,12,0,3,0,1,0,0,2,2,0,17,17,6,8,12,0,0,0,0,2,3,0,0,10,4,14,0.562701,6.47668,490.646,53.0,20101015
4,67,S17G01N1,290291,0,0,5,0,0,0,0,1,4,1,4,0,1,3,4,0,0,1,1,0,37,5,1,4,2,0,0,0,0,2,0,1,1,70,5,5,0.434028,0.0,285.843,53.0,20101015
5,56,S17G01N1,290293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0,0.0,0.0,53.0,20101015
6,86,S17G01N2,215029,3,0,1,0,0,0,0,0,3,2,6,0,2,1,1,0,0,1,1,0,34,19,0,3,0,0,0,2,3,2,1,1,1,65,1,7,0.543478,26.2238,76.9305,66.0,20101016
7,74,S17G01N2,235042,2,0,3,0,0,0,0,1,2,4,8,0,1,6,7,0,0,2,3,0,35,57,0,0,0,2,0,3,6,1,0,1,1,35,3,17,0.767148,14.2045,220.306,66.0,20101016
8,77,S17G01N2,240064,5,0,4,0,0,0,0,2,4,5,10,0,4,1,2,0,0,1,1,0,41,3,2,4,4,3,0,3,6,6,3,1,1,35,4,14,0.643382,22.8519,257.247,66.0,20101016
9,82,S17G01N2,290276,1,2,2,0,0,0,0,4,9,4,10,0,2,0,1,0,0,2,2,0,23,29,3,6,6,0,0,0,1,4,1,1,1,35,2,8,0.383142,6.47668,224.84,66.0,20101016
10,95,S17G01N2,290325,1,1,7,2,2,0,0,8,13,8,13,0,4,4,6,0,0,5,5,3,28,7,8,11,16,3,0,0,0,4,4,0,1,65,10,20,0.639386,4.84496,938.945,66.0,20101016
11,99,S17G01N3,220051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,0,0,0.0,0.0,0.0,75.0,20101016
12,109,S17G01N3,245028,1,0,4,0,0,0,0,2,6,2,8,0,4,3,4,0,0,2,2,2,23,59,0,0,0,0,0,0,2,1,2,2,1,60,6,7,0.358607,8.5034,750.521,75.0,20101016
13,114,S17G01N3,290238,1,0,9,1,1,0,0,7,15,8,18,0,2,5,5,0,0,2,3,5,31,17,0,0,0,1,0,1,3,6,1,1,1,60,14,22,0.544554,3.67647,1342.57,75.0,20101016
14,116,S17G01N3,290248,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,1,0,1,0,60,2,2,0.5,0.0,1500.0,75.0,20101016
15,106,S17G01N3,290335,2,1,9,0,0,0,0,2,5,2,10,0,2,2,2,1,0,3,3,0,23,4,0,0,0,0,0,0,5,1,1,1,1,06,9,6,0.275735,14.4092,1170.52,75.0,20101016
16,108,S17G01N3,650014,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,17,50,0,0,0,0,0,0,0,1,1,0,0,06,1,0,0.0,33.3333,168.224,75.0,20101016
17,121,S17G01N4,215053,2,1,2,0,0,0,0,6,6,6,6,0,3,2,2,1,0,3,3,2,30,1,6,6,12,0,0,0,0,4,1,2,1,16,4,14,1.01744,15.528,303.831,57.0,20101016
18,124,S17G01N4,230056,4,0,2,0,0,0,0,2,2,3,5,0,3,2,2,0,0,2,3,0,25,56,2,2,4,2,0,1,3,2,0,3,1,16,2,9,0.765306,33.67,175.835,57.0,20101016
19,134,S17G01N4,230061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,0.0,0.0,57.0,20101016
20,125,S17G01N4,250039,1,1,2,0,0,0,0,2,4,2,5,0,0,0,0,0,0,2,3,0,22,12,2,3,4,0,0,0,1,1,0,0,1,16,2,4,0.4,14.2857,205.405,57.0,20101016
21,137,S17G01N4,290111,0,0,2,0,0,0,0,0,4,0,4,0,3,0,0,0,0,2,3,1,23,31,0,2,0,0,0,0,0,2,1,2,1,30,3,0,0.0,0.0,290.858,57.0,20101016
22,138,S17G01N4,290283,0,0,0,0,0,0,0,1,1,1,3,0,3,1,2,1,0,2,1,1,9,3,1,1,2,0,0,0,2,1,3,0,0,30,1,3,0.386598,0.0,251.934,57.0,20101016
23,145,S17G01N5,220050,3,0,1,0,0,0,0,2,2,3,3,0,3,0,0,0,0,1,2,0,16,41,1,1,2,1,0,1,1,2,0,3,1,50,1,7,1.16667,37.5,153.447,64.0,20101016
24,160,S17G01N5,230071,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,3,2,0,7,27,0,0,0,0,0,0,0,0,1,0,0,55,0,2,0.5,0.0,0.0,64.0,20101016
25,162,S17G01N5,255038,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,2,0,2,36,0,0,0,0,0,0,0,0,0,1,0,55,0,0,0.0,0.0,0.0,64.0,20101016
26,155,S17G01N5,290332,2,1,5,0,0,0,0,5,5,5,5,0,4,3,6,0,0,1,2,4,29,54,5,5,10,0,0,0,0,1,4,0,1,50,9,13,0.850785,18.797,770.569,64.0,20101016
27,168,S17G01N5,290351,0,0,2,0,0,0,0,3,3,3,4,0,3,1,1,1,0,2,2,1,35,0,2,2,4,1,0,0,1,1,1,2,1,55,3,7,0.788288,0.0,219.429,64.0,20101016
28,171,S17G01N6,220051,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,16,36,0,0,0,1,0,0,0,0,0,0,1,06,0,0,0.0,100.0,0.0,61.0,20101017
29,172,S17G01N6,220194,0,0,0,0,0,0,0,2,4,3,7,0,5,0,0,0,0,2,2,2,16,52,1,2,2,0,0,1,3,1,2,3,0,06,2,7,0.5,0.0,289.328,61.0,20101017
30,189,S17G01N6,290285,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,7,46,0,1,0,0,0,0,1,1,0,0,0,65,0,0,0.0,33.3333,0.0,61.0,20101017
31,191,S17G01N6,290325,1,0,1,2,2,0,0,9,9,9,9,0,3,0,1,0,0,3,4,0,17,48,9,9,18,0,0,0,0,1,1,2,1,65,1,18,0.95339,8.74126,137.079,61.0,20101017
32,180,S17G01N6,290371,0,1,2,0,0,0,0,3,8,3,8,0,1,2,3,0,0,4,3,1,15,29,3,6,6,0,0,0,0,1,0,1,0,06,3,8,0.429185,0.0,472.766,61.0,20101017
33,192,S17G01N6,290377,3,1,7,0,0,0,0,2,3,5,9,0,3,4,4,0,0,2,1,1,32,10,2,2,4,1,0,3,6,3,2,1,0,65,8,17,0.789963,17.8998,606.839,61.0,20101017
34,194,S17G01N7,235042,2,0,6,0,0,0,0,0,0,3,7,0,4,1,2,0,0,0,0,1,34,23,0,0,0,0,0,3,7,2,2,2,1,35,7,10,0.634518,16.835,757.344,93.0,20101017
35,197,S17G01N7,240064,9,0,3,0,0,0,0,1,2,3,5,0,0,1,2,0,0,0,0,4,41,29,1,2,2,1,0,2,3,3,0,0,1,35,7,9,0.765306,50.3356,627.722,93.0,20101017
36,206,S17G01N7,245028,0,0,0,0,0,0,0,2,8,2,9,0,2,0,0,0,0,0,0,0,29,15,1,5,2,1,0,0,1,0,0,2,1,60,0,4,0.222222,0.0,0.0,93.0,20101017
37,211,S17G01N7,290238,2,1,5,0,0,0,0,12,19,12,19,0,4,3,4,0,0,0,0,11,38,14,12,19,24,1,0,0,0,1,3,1,1,60,16,27,0.650289,8.41751,1556.76,93.0,20101017
38,213,S17G01N7,290248,1,1,7,0,1,0,0,9,15,9,15,0,2,2,4,0,0,0,0,7,20,56,9,15,18,0,0,0,0,2,1,1,1,60,14,20,0.596659,5.06073,2487.9,93.0,20101017
39,200,S17G01N7,290261,2,3,5,2,2,0,0,13,25,13,25,0,4,11,12,0,0,0,0,3,40,42,11,19,22,2,0,0,0,4,2,2,0,35,8,37,0.610964,5.51268,731.204,93.0,20101017
40,223,S17G01N8,290283,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,53,0,0,0,0,0,0,0,1,0,0,1,30,1,0,0.0,66.6667,366.102,63.0,20101017
41,228,S17G01N8,290366,1,0,5,2,2,0,0,7,12,7,15,0,2,2,2,2,0,2,1,2,21,8,7,9,14,1,0,0,3,0,2,0,0,30,7,16,0.503778,5.92417,834.7,63.0,20101017
42,236,S17G01N8,290380,2,0,5,0,0,0,0,5,7,5,11,0,3,3,3,0,0,1,1,1,36,54,5,6,10,1,0,0,4,5,2,1,1,70,6,13,0.527597,10.352,409.756,63.0,20101017
43,238,S17G01N8,290395,1,1,5,0,1,0,0,3,9,3,9,0,2,1,4,0,0,1,2,2,26,47,3,9,6,0,0,0,0,5,1,1,1,70,7,7,0.325279,5.96659,658.619,63.0,20101017
44,253,S17G01N9,220050,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,11,18,0,0,0,0,0,0,1,0,0,0,1,50,0,0,0.0,50.0,0.0,73.0,20101017
45,242,S17G01N9,220056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,35,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0,0.0,0.0,73.0,20101017
46,248,S17G01N9,290123,0,0,0,0,0,0,0,1,2,1,2,0,2,0,0,0,0,3,2,2,6,58,1,2,2,0,0,0,0,0,2,0,0,16,2,2,0.5,0.0,838.278,73.0,20101017
47,262,S17G01N9,290332,3,2,4,0,0,0,0,3,5,3,5,0,1,0,0,0,0,1,2,7,24,31,3,6,6,0,0,0,0,1,1,0,1,50,11,6,0.6,33.3333,1310.13,73.0,20101017
48,251,S17G01N9,290367,1,2,7,3,3,0,0,5,11,5,11,0,1,2,4,0,0,2,3,4,34,5,4,7,8,1,0,0,0,3,0,1,1,16,11,12,0.470219,5.96659,942.396,73.0,20101017
49,278,S17G01N10,215012,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,4,0,11,16,0,0,0,0,0,0,1,0,0,0,0,55,0,0,0.0,50.0,0.0,61.0,20101017
50,280,S17G01N10,230071,0,0,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,2,3,1,20,53,1,1,2,0,0,0,0,1,0,0,1,55,2,2,0.5,0.0,233.679,61.0,20101017
51,271,S17G01N10,290292,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,12,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0.0,0.0,0.0,61.0,20101017
52,288,S17G01N10,290351,1,0,1,0,0,0,0,0,1,3,5,0,3,1,2,0,0,2,2,0,35,33,0,1,0,2,0,3,4,2,1,2,1,55,1,10,0.85034,11.2613,68.6357,61.0,20101017
53,274,S17G01N10,290373,1,1,3,0,0,0,0,1,2,1,3,0,2,0,0,0,0,2,2,0,20,26,1,2,2,0,0,0,1,0,1,1,1,10,3,2,0.333333,25.0,358.238,61.0,20101017
54,276,S17G01N10,290392,0,2,3,1,1,0,0,4,5,4,5,0,4,0,0,1,0,2,3,1,15,50,4,5,8,0,0,0,0,2,0,4,1,10,4,8,0.8,0.0,616.421,61.0,20101017
55,291,S17G01N11,220051,1,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3,2,0,17,58,0,0,0,0,0,0,0,1,1,0,0,06,2,2,1.0,33.3333,240.445,54.0,20101019
56,301,S17G01N11,240044,0,0,2,0,0,0,0,1,2,2,3,0,2,3,4,0,0,2,2,0,11,44,1,2,2,0,0,1,1,3,1,1,0,70,2,8,0.840336,0.0,368.182,54.0,20101019
57,295,S17G01N11,250038,1,1,3,0,0,0,0,2,3,3,5,0,3,1,3,1,0,3,3,3,26,24,2,2,4,2,0,1,2,2,2,1,1,06,6,8,0.632911,10.7296,490.909,54.0,20101019
58,300,S17G01N11,290371,0,4,5,4,4,0,0,8,13,8,13,0,3,2,2,1,0,2,1,1,20,0,8,11,16,0,0,0,0,1,1,2,0,06,6,18,0.648415,0.0,648.0,54.0,20101019
59,308,S17G01N11,290381,3,0,2,0,0,0,0,6,14,8,17,0,4,9,9,0,0,1,1,1,37,35,5,9,10,1,0,2,3,2,3,1,1,70,3,27,0.644084,11.5562,172.417,54.0,20101019
60,311,S17G01N11,290396,0,3,2,0,0,0,0,1,6,1,7,0,2,0,0,0,0,1,1,0,17,37,1,4,2,1,0,0,1,1,1,1,0,70,2,2,0.142857,0.0,245.222,54.0,20101019
61,314,S17G01N12,220056,0,0,1,0,0,0,0,0,1,1,2,0,2,0,0,0,0,2,2,0,6,50,0,1,0,0,0,1,1,0,0,2,0,16,1,3,0.75,0.0,362.927,62.0,20101019
62,320,S17G01N12,290123,0,1,2,0,0,0,0,1,4,1,4,0,4,0,0,0,0,5,6,1,23,46,1,2,2,0,0,0,0,1,2,2,1,16,3,2,0.25,0.0,313.043,62.0,20101019
63,333,S17G01N12,290285,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,2,0,7,57,0,1,0,0,0,0,1,1,0,1,0,65,0,0,0.0,0.0,0.0,62.0,20101019
64,335,S17G01N12,290325,2,2,5,0,0,0,0,6,12,6,12,0,3,1,1,0,0,3,3,5,23,45,6,12,12,0,0,0,0,3,3,0,1,65,10,13,0.522508,11.4679,1044.21,62.0,20101019
65,323,S17G01N12,290367,1,1,9,0,0,0,0,5,11,5,11,0,1,5,9,0,0,6,7,2,23,22,5,7,10,0,0,0,0,4,1,0,1,16,11,15,0.501337,5.01002,1167.47,62.0,20101019
66,336,S17G01N12,290377,2,0,5,0,0,0,0,7,13,10,17,0,3,5,5,0,0,3,3,2,32,13,4,4,8,2,0,3,4,2,3,0,1,65,7,28,0.729167,8.62069,538.852,62.0,20101019
67,349,S17G01N13,215012,3,0,1,0,0,0,0,1,4,3,8,0,1,4,4,0,0,3,3,0,34,29,1,3,2,1,0,2,4,2,1,0,1,55,1,12,0.614754,20.3252,66.1189,57.0,20101020
68,337,S17G01N13,220184,0,0,5,0,0,0,0,5,6,5,6,0,2,3,4,0,0,4,4,1,17,11,5,6,10,0,0,0,0,2,1,1,1,35,6,13,0.837629,0.0,796.12,57.0,20101020
69,351,S17G01N13,230071,0,0,0,0,0,0,0,2,3,2,3,0,1,0,0,0,0,2,3,1,13,46,2,3,4,1,0,0,0,0,1,0,1,55,1,4,0.666667,0.0,165.617,57.0,20101020
70,339,S17G01N13,235049,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,5,46,0,0,0,0,0,0,1,1,0,0,0,35,1,0,0.0,0.0,395.376,57.0,20101020
71,344,S17G01N13,290261,3,2,2,0,0,0,0,10,12,10,12,0,5,5,6,0,0,3,3,3,22,32,8,9,16,0,0,0,0,4,2,3,0,35,5,25,0.853825,13.8632,505.917,57.0,20101020
72,359,S17G01N13,290351,1,0,0,0,0,0,0,0,0,1,2,0,5,0,2,1,0,5,6,1,10,19,0,0,0,0,0,1,2,0,1,4,1,55,1,3,0.520833,25.7732,221.002,57.0,20101020
73,360,S17G01N14,220050,6,0,1,0,0,0,0,1,1,1,2,0,3,2,2,1,0,2,2,1,17,35,0,0,0,0,0,0,1,0,2,1,1,50,2,4,0.694444,67.5676,227.488,50.0,20101020
74,376,S17G01N14,255044,2,0,0,0,0,0,0,0,2,0,2,0,4,2,2,1,0,1,0,0,25,42,0,2,0,1,0,0,0,2,3,1,0,60,0,2,0.347222,29.0698,0.0,50.0,20101020
75,378,S17G01N14,290238,0,1,1,0,0,0,0,1,3,2,7,0,2,1,1,0,0,1,2,0,21,8,1,2,2,0,0,1,4,4,2,0,1,60,1,6,0.403226,0.0,94.6372,50.0,20101020
76,370,S17G01N14,290332,1,1,6,1,1,0,0,3,5,3,5,0,5,4,4,0,0,2,3,1,26,18,3,5,6,0,0,0,0,0,4,1,1,50,7,10,0.739645,12.8866,532.319,50.0,20101020
77,386,S17G01N15,220051,0,0,0,0,0,0,0,2,2,2,3,0,3,2,2,0,0,0,0,0,14,22,1,1,2,0,0,0,1,1,2,1,0,06,0,6,0.773196,0.0,0.0,48.0,20101021
78,398,S17G01N15,230061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,0.0,0.0,48.0,20101021
79,390,S17G01N15,250038,2,1,0,0,0,0,0,1,1,1,2,0,4,0,0,0,0,0,0,0,26,17,0,0,0,0,0,0,1,0,1,3,1,06,0,2,0.5,50.0,0.0,48.0,20101021
80,402,S17G01N15,290283,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,9,29,0,0,0,0,0,1,1,1,1,0,1,30,0,3,1.5,33.3333,0.0,48.0,20101021
81,394,S17G01N15,290335,1,1,5,0,0,0,0,4,8,5,11,0,2,1,1,0,0,0,0,3,27,5,2,5,4,3,0,1,3,1,0,2,1,06,8,12,0.524476,7.44048,567.138,48.0,20101021
82,407,S17G01N15,290366,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,10,3,0,0,0,1,0,0,0,0,0,2,0,30,0,0,0.0,66.6667,0.0,48.0,20101021
83,421,S17G01N16,215029,2,0,0,0,0,0,0,6,7,7,8,0,2,0,0,0,0,2,1,0,29,37,3,4,6,1,0,1,1,0,0,2,0,65,0,15,0.9375,20.0,0.0,69.0,20101021
84,411,S17G01N16,235057,1,0,3,0,0,0,0,3,6,3,7,0,5,1,1,0,0,2,3,0,28,18,2,3,4,0,0,0,1,1,2,3,1,10,3,7,0.47043,10.5932,292.579,69.0,20101021
85,413,S17G01N16,290292,4,0,2,0,0,0,0,3,6,4,10,0,1,4,6,0,0,1,1,0,37,31,3,6,6,0,0,1,4,3,0,1,1,10,2,13,0.514241,20.3666,147.135,69.0,20101021
86,430,S17G01N16,290325,1,4,5,6,6,0,0,12,18,12,18,0,3,2,2,0,0,2,2,6,30,42,12,18,24,0,0,0,0,3,2,1,1,65,11,26,0.688559,4.37063,988.925,69.0,20101021
87,431,S17G01N16,290377,4,0,6,0,0,0,0,4,12,4,15,0,2,4,5,0,0,3,2,2,27,29,4,8,8,2,0,0,3,3,0,2,0,65,8,12,0.348837,16.5289,803.396,69.0,20101021
88,418,S17G01N16,290392,0,0,4,0,0,0,0,6,13,6,13,0,2,4,8,0,0,3,3,6,22,6,6,13,12,0,0,0,0,2,1,1,1,10,10,16,0.484262,0.0,1248.87,69.0,20101021
89,433,S17G01N17,215012,4,0,1,0,0,0,0,1,2,1,7,0,1,2,2,0,0,4,4,0,31,39,1,2,2,1,0,0,5,3,0,1,0,55,1,4,0.253807,26.8817,70.7741,56.0,20101022
90,435,S17G01N17,230071,0,0,1,0,0,0,0,1,2,1,2,0,0,2,2,0,0,3,3,0,8,46,1,2,2,0,0,0,0,0,0,0,0,55,1,4,0.694444,0.0,255.513,56.0,20101022
91,450,S17G01N17,290238,4,1,15,1,1,0,0,6,9,9,13,0,3,2,2,0,0,1,1,3,38,7,4,7,8,0,0,3,4,7,2,1,1,60,18,23,0.82853,16.0772,1057.8,56.0,20101022
92,452,S17G01N17,290287,6,1,1,0,0,0,0,4,4,7,11,0,1,2,3,0,0,2,2,0,35,1,3,3,6,4,0,3,7,2,1,0,1,60,1,19,0.771104,29.5276,63.9695,56.0,20101022
93,443,S17G01N17,290351,2,0,4,0,0,0,0,0,1,3,8,0,3,2,3,0,0,2,2,1,35,41,0,1,0,3,0,3,7,1,0,3,1,55,5,11,0.590129,16.2338,313.872,56.0,20101022
94,456,S17G01N18,220050,6,0,3,0,0,0,0,2,2,3,4,0,2,3,4,0,0,3,4,0,25,56,2,2,4,1,0,1,2,2,0,2,1,50,3,10,0.868056,43.6047,259.126,56.0,20101022
95,466,S17G01N18,290332,0,2,7,1,1,0,0,7,9,7,9,0,1,3,5,1,0,2,3,4,27,38,7,9,14,0,0,0,0,3,0,1,1,50,11,17,0.758929,0.0,891.677,56.0,20101022
96,475,S17G01N18,290381,2,1,0,0,0,0,0,4,11,4,13,0,4,2,2,0,0,0,1,0,37,40,2,6,4,0,0,0,2,2,2,2,1,70,0,10,0.360231,11.1857,0.0,56.0,20101022
97,477,S17G01N18,290395,1,2,8,2,2,0,0,5,11,5,11,0,4,1,2,0,0,2,3,1,30,57,4,8,8,0,0,0,0,3,2,2,1,70,9,11,0.462963,6.29723,651.373,56.0,20101022
98,492,S17G01N19,220184,0,0,3,0,0,0,0,3,8,3,8,0,4,1,2,0,0,2,3,3,15,6,3,8,6,1,0,0,0,3,2,2,1,35,6,7,0.394144,0.0,667.55,42.0,20101023
99,484,S17G01N19,235057,1,0,1,0,0,0,0,3,7,4,10,0,2,0,0,0,0,2,3,0,27,56,1,3,2,0,0,1,3,0,1,1,1,10,1,9,0.45,9.09091,60.1432,42.0,20101023
100,498,S17G01N19,290223,1,0,2,0,0,0,0,4,4,6,7,0,3,4,6,0,0,2,3,0,27,28,4,4,8,2,0,2,3,2,2,1,1,35,2,18,0.93361,7.91139,122.33,42.0,20101023
101,485,S17G01N19,290250,2,3,7,0,0,1,0,6,10,6,11,0,4,4,5,1,0,1,2,2,34,6,4,7,8,2,1,0,1,2,4,0,1,10,9,16,0.606061,11.6279,443.402,42.0,20101023
102,499,S17G01N19,290261,7,1,5,1,1,0,0,15,18,15,18,0,1,7,10,0,0,2,2,1,22,42,10,12,20,1,0,0,0,1,0,1,0,35,6,37,0.825893,23.0263,444.053,42.0,20101023
103,486,S17G01N19,290292,6,0,0,0,0,0,0,4,4,4,4,0,3,1,2,0,0,1,1,0,35,48,4,4,8,1,0,0,0,4,0,3,1,10,0,9,0.922131,40.3226,0.0,42.0,20101023
104,503,S17G01N20,210035,3,1,6,0,0,0,0,3,6,4,8,0,3,2,4,0,0,2,3,1,32,55,3,4,6,1,0,1,2,0,1,2,1,06,7,11,0.563525,23.511,484.861,57.0,20101023
105,505,S17G01N20,220051,1,0,0,0,0,0,0,2,2,2,4,0,0,0,1,0,0,4,3,2,15,22,2,2,4,0,0,0,2,1,0,0,0,06,2,4,0.45045,15.528,296.746,57.0,20101023
106,518,S17G01N20,250039,4,0,2,0,0,0,0,2,3,2,6,0,3,1,1,0,0,2,3,2,30,7,2,2,4,1,0,0,3,2,1,2,1,16,4,5,0.388199,32.1543,302.822,57.0,20101023
107,521,S17G01N20,250069,0,0,1,0,0,0,0,0,1,2,3,0,1,0,0,0,0,3,2,0,13,46,0,0,0,0,0,2,2,0,0,1,0,16,1,6,1.0,0.0,165.617,57.0,20101023
108,513,S17G01N20,290335,2,0,8,0,0,0,0,6,10,7,15,0,3,3,4,0,0,2,2,0,32,18,4,6,8,2,0,1,5,1,1,2,1,06,8,18,0.536993,10.1215,564.706,57.0,20101023
109,525,S17G01N20,290367,0,2,6,3,3,0,0,7,13,7,13,0,2,3,3,0,0,2,3,4,26,3,5,10,10,0,0,0,0,4,2,0,1,16,10,17,0.593575,0.0,875.24,57.0,20101023
110,540,S17G01N21,215029,2,0,4,0,0,0,0,2,3,4,8,0,2,2,2,0,0,2,1,1,33,39,1,2,2,0,0,2,5,2,1,1,0,65,5,12,0.675676,15.528,386.33,65.0,20101023
111,527,S17G01N21,215065,1,0,1,0,0,0,0,0,2,0,2,0,0,2,2,0,0,2,1,0,14,5,0,1,0,1,0,0,0,1,0,0,0,30,1,2,0.347222,20.4918,184.615,65.0,20101023
112,532,S17G01N21,290283,0,1,0,0,0,0,0,1,1,1,3,0,4,1,2,0,0,3,4,0,20,9,1,1,2,0,0,0,2,0,2,2,1,30,0,3,0.386598,0.0,0.0,65.0,20101023
113,549,S17G01N21,290325,3,2,12,1,1,0,0,6,10,6,10,0,3,1,3,0,0,3,3,0,33,14,5,8,10,1,0,0,0,5,1,2,1,65,12,13,0.574205,15.528,938.816,65.0,20101023
114,536,S17G01N21,290365,1,1,6,2,2,0,0,7,16,7,19,0,4,2,8,1,0,2,2,1,28,10,6,9,12,1,0,0,3,0,3,1,1,30,7,16,0.35524,4.2517,646.154,65.0,20101023
115,554,S17G01N22,250039,2,1,1,0,0,0,0,0,1,1,5,0,3,2,2,0,0,1,1,1,31,3,0,1,0,0,0,1,4,0,1,2,1,16,2,5,0.42517,25.3807,136.554,53.0,20101024
116,557,S17G01N22,250069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0,0.0,0.0,53.0,20101024
117,569,S17G01N22,290238,0,1,7,0,0,0,0,3,3,3,4,0,4,1,1,0,0,2,2,1,21,30,2,2,4,1,0,0,1,4,1,3,1,60,8,7,0.788288,0.0,788.837,53.0,20101024
118,570,S17G01N22,290287,3,0,4,0,0,0,0,6,9,7,12,0,3,2,5,0,0,2,2,0,34,21,3,3,6,1,0,1,3,1,1,2,1,60,4,17,0.598592,16.4835,246.87,53.0,20101024
119,561,S17G01N22,290367,0,1,7,2,2,0,0,7,12,7,12,0,4,7,10,2,0,2,3,1,30,39,7,12,14,0,0,0,0,3,2,2,1,16,8,21,0.640244,0.0,553.344,53.0,20101024
120,576,S17G01N23,215012,5,0,4,0,0,0,0,3,4,4,6,0,2,2,2,0,0,4,3,1,31,29,2,3,4,2,0,1,2,2,2,0,0,55,5,11,0.799419,36.0231,298.571,47.0,20101024
121,583,S17G01N23,290147,3,2,11,2,2,0,0,10,13,10,13,0,4,4,4,0,0,2,2,1,31,53,10,11,20,4,0,0,0,4,2,2,1,55,12,24,0.813008,13.7868,707.58,47.0,20101024
122,586,S17G01N23,290351,0,0,1,0,0,0,0,5,6,8,12,0,2,1,1,0,0,2,1,0,35,3,5,6,10,0,0,3,6,1,1,1,0,55,1,20,0.803859,0.0,53.6377,47.0,20101024
123,594,S17G01N23,290381,5,0,1,0,0,0,0,4,7,7,11,0,4,5,5,1,0,1,1,0,37,49,2,2,4,3,0,3,4,3,0,4,1,70,1,22,0.833333,23.5849,49.7135,47.0,20101024
124,596,S17G01N23,290395,2,0,8,4,4,0,0,7,12,7,12,0,2,4,5,0,0,2,2,1,33,13,7,10,14,0,0,0,0,0,0,2,1,70,9,18,0.633803,12.3457,509.383,47.0,20101024
125,598,S17G01N23,650010,4,0,0,0,0,0,0,0,3,3,9,0,5,0,0,2,0,1,2,1,34,3,0,1,0,2,0,3,6,1,2,3,1,70,1,9,0.5,28.5714,55.2129,47.0,20101024
126,610,S17G01N24,220034,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,7,24,0,0,0,0,0,0,1,1,0,0,0,50,0,0,0.0,0.0,0.0,56.0,20101024
127,611,S17G01N24,220050,3,0,0,0,0,0,0,2,2,2,3,0,2,0,0,1,0,2,3,0,18,0,2,2,4,0,0,0,1,0,0,2,1,50,0,4,0.666667,50.0,0.0,56.0,20101024
